13
999	2	1	3	999	999	999	999	999	999	999	999	999 

2	999	2 	999  	999 	5 	5  	999  	999 	999  	999 	999   	999 

1 	2  	999 	4  	999 	5 	999  	999 	999 	999  	999 	999   	999 

3 	999  	4  	999 	5  	5 	999  	999  	999 	999  	999  	999   	999 

999 	999 	999  	5  	999  	6 	999  	999  	999  	6  	999 	999   	999 

999 	5  	5  	5  	6  	999 	6  	6  	6  	6  	999  	999  	999 

999 	5  	999  	999  	999  	6 	999 	6  	999  	999  	999  	999  	999 

999 	999  	999  	999  	999  	6 	6  	999 	7  	999  	999 	7   	7 

999 	999  	999  	999  	999  	6 	999  	7  	999  	7  	7  	999   	999 

999 	999  	999  	999  	6  	6 	999  	999 	7  	999  	7  	7   	999 

999 	999  	999  	999 	999  	999 	999 	999 	7  	7  	999 	8   	999 

999 	999 	999  	999  	999  	999 	999  	7  	999 	7  	8  	999   	8 

999 	999  	999  	999  	999 	999 	999  	7  	999  	999 	999  	8  	999

